Nombre de la Unidad Económica,Nombre de clase de la actividad,Latitud,Longitud
TACOS DE ASADA T JAROCHO,Restaurantes con servicio de preparación de tacos y tortas,19.00483412,-98.2014697
TACOS DE GUISADO T JAROCHO,Restaurantes con servicio de preparación de tacos y tortas,19.00496012,-98.20143752
TACOS DE MIXIOTES,Restaurantes con servicio de preparación de tacos y tortas,19.00476218,-98.20196657
TACOS DE MIXIOTES,Restaurantes con servicio de preparación de tacos y tortas,19.00380975,-98.19983154
TACOS EL MARE,Restaurantes con servicio de preparación de tacos y tortas,19.00415138,-98.19992372
TAMALES LA CANDELARIA,Servicios de preparación de otros alimentos para consumo inmediato,19.00691833,-98.20154404
TAQUERIA CESAR SAN MANUEL,Restaurantes con servicio de preparación de tacos y tortas,19.00709176,-98.20279754
TAQUERIA EL RINCON DEL TACO,Restaurantes con servicio de preparación de tacos y tortas,19.00608645,-98.20492938
TAQUERIA FACULTAD,Restaurantes con servicio de preparación de tacos y tortas,19.00020693,-98.20470614
TAQUERIA HYDE,Restaurantes con servicio de preparación de tacos y tortas,19.00344607,-98.20747272
TAQUERIA JUQUILITA,Restaurantes con servicio de preparación de tacos y tortas,19.00748932,-98.20392992
TAQUERIA LA ARDILLA,Restaurantes con servicio de preparación de tacos y tortas,19.00503001,-98.20169307
TAQUERIA LOS MACHIN,Restaurantes con servicio de preparación de tacos y tortas,19.00398336,-98.20722049
TAQUERIA LOS RUDOS,Restaurantes con servicio de preparación de tacos y tortas,19.00375367,-98.19969906
TAQUERIA MAXITABLITAS,Restaurantes con servicio de preparación de tacos y tortas,19.00765858,-98.20438083
TAQUERIA MONCHIS,Restaurantes con servicio de preparación de tacos y tortas,19.005394,-98.20334877
TAQUERIA SUPER TACO,Restaurantes con servicio de preparación de tacos y tortas,19.00783201,-98.20482368
TAQUERIA VILLA PARRILLA SIRLON,Restaurantes con servicio de preparación de tacos y tortas,19.0074105,-98.20282582
TAQUERIA XIME,Restaurantes con servicio de preparación de tacos y tortas,19.00447537,-98.20132556
THE ITALIAN COFFEE COMPANY,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00412087,-98.20167898
TORTAS ANA,Restaurantes con servicio de preparación de tacos y tortas,19.00368349,-98.20070311
TORTAS LA COLOSAL,Restaurantes con servicio de preparación de tacos y tortas,19.00836251,-98.20636003
TORTAS LOBI TORTAS,Restaurantes con servicio de preparación de tacos y tortas,19.00490664,-98.20145117
TORTAS MAPO,Restaurantes con servicio de preparación de tacos y tortas,19.00033804,-98.20476949
TORTAS PLANCHADAS,Restaurantes con servicio de preparación de tacos y tortas,19.00709534,-98.20169247
TORTAS PLANCHADAS LA PLAZITA,Restaurantes con servicio de preparación de tacos y tortas,19.00456428,-98.20148648
TORTAS Y CEMITAS EL TIO PONCHO,Restaurantes con servicio de preparación de tacos y tortas,19.00512772,-98.20166579
TORTAS Y CEMITAS MARU,Restaurantes con servicio de preparación de tacos y tortas,19.0047529,-98.20184486
TORTERIA DEL CARMEN NATURAL FRUITS,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00805335,-98.20414041
TORTERIA DOÑA PIPIS,Restaurantes con servicio de preparación de tacos y tortas,19.00597697,-98.20171478
